Job Title,Company Name,Job Location,Job Time,Job Link
Data Scientist,Seoudi Supermarket,"Sheikh Zayed, Giza, Egypt ",12 days ago,https://wuzzuf.net/jobs/p/VssduzQBDTOi-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=1&l=sp&t=sj&a=data scientist|search-v3|hpb
Data Scientist Manager,Tamweely,"Shubra, Cairo, Egypt ",28 days ago,https://wuzzuf.net/jobs/p/TDvGLGflJdwP-Data-Scientist-Manager-Tamweely-Cairo-Egypt?o=2&l=sp&t=sj&a=data scientist|search-v3|hpb
"Data Scientist ""Senior/Lead""",Confidential,"New Cairo, Cairo, Egypt ",1 month ago,https://wuzzuf.net/jobs/p/PmQv2opPhA7S-Data-Scientist-SeniorLead-Cairo-Egypt?o=3&l=sp&t=sj&a=data scientist|search-v3|hpb
immunology/immuno-oncology scientist,Proteinea,"Cairo, Egypt ",1 month ago,https://wuzzuf.net/jobs/p/TDIl3dpTtpD8-immunologyimmuno-oncology-scientist-Proteinea-Cairo-Egypt?o=4&l=sp&t=sj&a=data scientist|search-v3|hpb
Research Scientist (Agricultural microbiology),HITS Technologies ,"Nasr City, Cairo, Egypt ",1 month ago,https://wuzzuf.net/jobs/p/UiCfKWgeMU3M-Research-Scientist-Agricultural-microbiology-HITS-Technologies-Cairo-Egypt?o=5&l=sp&t=sj&a=data scientist|search-v3|hpb
Data Scientist,Monty Mobile,"Cairo, Egypt ",2 months ago,https://wuzzuf.net/jobs/p/JH95wpLfTvip-Data-Scientist-Monty-Mobile-Cairo-Egypt?o=6&l=sp&t=sj&a=data scientist|search-v3|hpb
Senior Data Management Engineer,Ejada ,"Cairo, Egypt ",18 days ago,https://wuzzuf.net/jobs/p/hBvUbhBkorHH-Senior-Data-Management-Engineer-Ejada-Cairo-Egypt?o=7&l=sp&t=sj&a=data scientist|search-v3|hpb
Data Science Software Engineer Intern,Seuqel Solutions,"Cairo, Egypt ",18 days ago,https://wuzzuf.net/internship/woPTqpa9WDRl-Data-Science-Software-Engineer-Intern-Seuqel-Solutions-Cairo-Egypt?o=8&l=sp&t=sj&a=data scientist|search-v3|hpb
Senior Data Modeler,BBI-Consultancy,"Cairo, Egypt ",29 days ago,https://wuzzuf.net/jobs/p/MSfNAjuV95Yw-Senior-Data-Modeler-BBI-Consultancy-Cairo-Egypt?o=9&l=sp&t=sj&a=data scientist|search-v3|hpb
Full Stack Developer (Junior or mid level) (.net - angular/react),MiracleEgypt,"Hadayek Alahram, Giza, Egypt ",19 days ago,https://wuzzuf.net/jobs/p/t3NWLKCQ1bwc-Full-Stack-Developer-Junior-or-mid-level-net---angularreact-MiracleEgypt-Giza-Egypt?o=10&l=sp&t=sj&a=data scientist|search-v3|hpb
Environmental Specialist- Engineer,Confidential,"6th of October, Giza, Egypt ",18 days ago,https://wuzzuf.net/jobs/p/MFOEUVwdmEnA-Environmental-Specialist--Engineer-Giza-Egypt?o=11&l=sp&t=sj&a=data scientist|search-v3|hpb
Quality Assurance Analyst,Globaction,"6th of October, Giza, Egypt ",2 months ago,https://wuzzuf.net/jobs/p/95YPwdxl7Wew-Quality-Assurance-Analyst-Globaction-Giza-Egypt?o=12&l=sp&t=sj&a=data scientist|search-v3|hpb
Senior SOC Engineer,Union Coop,"Dokki, Giza, Egypt ",1 month ago,https://wuzzuf.net/jobs/p/My61M65tcjR0-Senior-SOC-Engineer-Union-Coop-Giza-Egypt?o=13&l=sp&t=sj&a=data scientist|search-v3|hpb
Full Stack Developer,SEOS7,"Giza, Egypt ",1 month ago,https://wuzzuf.net/jobs/p/wb04mpm7LdQw-Full-Stack-Developer-SEOS7-Giza-Egypt?o=14&l=sp&t=sj&a=data scientist|search-v3|hpb
.Net Core/ Angular Full Stack developer,Manzoma,"Sheraton, Cairo, Egypt ",1 month ago,https://wuzzuf.net/jobs/p/bePVvtbNBNwD-Net-Core-Angular-Full-Stack-developer-Manzoma-Cairo-Egypt?o=15&l=sp&t=sj&a=data scientist|search-v3|hpb
